City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,36.68,88,2,11.88,GS,1696209778
1,bilibino,68.0546,166.4372,29.95,79,100,4.47,RU,1696209778
2,wailua homesteads,22.0669,-159.378,86.43,83,40,11.5,US,1696209682
3,la sarre,48.8002,-79.1996,57.2,69,90,3.65,CA,1696209778
4,st. john's,47.5649,-52.7093,55.98,87,40,23.02,CA,1696209725
5,vila velha,-20.3297,-40.2925,71.55,90,40,10.36,BR,1696209779
6,metkovic,43.0542,17.6483,61.27,52,0,6.38,HR,1696209779
7,nyurba,63.2842,118.3319,42.04,81,100,5.01,RU,1696209779
8,tura,25.5198,90.2201,75.61,96,93,2.89,IN,1696209779
9,port-aux-francais,-49.35,70.2167,39.78,83,100,46.68,TF,1696209779
10,wamba,8.9333,8.6,73.11,91,100,0.63,NG,1696209779
11,ilulissat,69.2167,-51.1,30.22,55,3,5.75,GL,1696209779
12,hithadhoo,-0.6,73.0833,81.7,74,12,13.31,MV,1696209779
13,kirakira,-10.4544,161.9205,83.41,78,90,14.2,SB,1696209779
14,yemva,62.59,50.8594,54.05,86,100,10.0,RU,1696209779
15,kyakhta,50.3508,106.4494,38.64,61,100,12.15,RU,1696209779
16,edinburgh of the seven seas,-37.0676,-12.3116,50.56,59,92,21.63,SH,1696209773
17,stanley,54.868,-1.6985,54.52,95,20,1.14,GB,1696209780
18,hoopstad,-27.8327,25.9083,50.67,75,0,8.75,ZA,1696209780
19,buta,2.7858,24.73,69.53,98,100,0.96,CD,1696209780
20,barvinkove,48.9097,37.0205,60.31,47,100,6.02,UA,1696209780
21,atar,20.5169,-13.0499,87.76,18,93,6.8,MR,1696209780
22,queenstown,-31.8976,26.8753,46.44,80,37,2.64,ZA,1696209780
23,margaret river,-33.95,115.0667,50.9,71,97,25.7,AU,1696209780
24,dudinka,69.4058,86.1778,6.67,100,54,4.0,RU,1696209780
25,papatowai,-46.5619,169.4708,50.38,86,100,16.91,NZ,1696209780
26,invercargill,-46.4,168.35,45.01,86,100,25.01,NZ,1696209722
27,villa union,23.2,-106.2333,88.92,74,20,0.0,MX,1696209781
28,paradip garh,20.3167,86.6167,81.21,85,99,15.77,IN,1696209781
29,ola,59.5833,151.2833,50.14,72,68,3.69,RU,1696209781
30,constantia,44.1833,28.65,61.7,50,87,19.53,RO,1696209781
31,port augusta,-32.5,137.7667,85.37,23,0,8.72,AU,1696209556
32,puerto natales,-51.7236,-72.4875,36.07,77,93,9.15,CL,1696209781
33,kalianget,-7.05,113.9333,82.18,61,97,10.85,ID,1696209781
34,lospalos,-8.5186,127.0025,81.61,57,94,10.2,TL,1696209781
35,jamestown,42.097,-79.2353,64.04,89,75,6.91,US,1696209773
36,west island,-12.1568,96.8225,78.78,73,40,17.27,CC,1696209657
37,lata,40.1629,-8.3327,63.91,64,0,0.96,PT,1696209781
38,avarua,-21.2078,-159.775,73.45,94,100,8.05,CK,1696209782
39,xining,36.6167,101.7667,53.37,79,100,0.38,CN,1696209782
40,ambodifotatra,-16.9833,49.85,73.42,87,54,7.34,MG,1696209782
41,klyuchi,52.2667,79.1667,40.51,86,0,6.33,RU,1696209782
42,mihalgazi,40.0262,30.5771,65.8,94,95,5.66,TR,1696209782
